datetime,open,high,low,close,volume
2026-01-19 08:00:00+01:00,24940.3,24963.95,24931.35,24958.45,522
2026-01-19 08:05:00+01:00,24957.95,24972.85,24937.35,24943.05,436
2026-01-19 08:10:00+01:00,24942.95,24974.15,24940.45,24973.55,376
2026-01-19 08:15:00+01:00,24973.85,24977.45,24954.75,24963.55,349
2026-01-19 08:20:00+01:00,24964.55,24984.25,24963.65,24980.05,252
2026-01-19 08:25:00+01:00,24979.05,24989.75,24969.85,24975.45,241
2026-01-19 08:30:00+01:00,24973.95,24986.95,24973.65,24980.55,296
2026-01-19 08:35:00+01:00,24979.55,24985.15,24960.95,24962.15,326
2026-01-19 08:40:00+01:00,24961.65,24967.55,24952.65,24953.55,283
2026-01-19 08:45:00+01:00,24953.05,24965.85,24945.45,24958.65,285
2026-01-19 08:50:00+01:00,24958.15,24966.45,24945.45,24957.75,272
2026-01-19 08:55:00+01:00,24957.25,24957.25,24921.45,24935.85,474
2026-01-19 09:00:00+01:00,24936.05,24966.95,24912.65,24924.25,1220
2026-01-19 09:05:00+01:00,24921.75,24955.25,24918.85,24948.65,1016
2026-01-19 09:10:00+01:00,24947.25,24993.45,24946.65,24991.65,867
2026-01-19 09:15:00+01:00,24991.55,25037.85,24989.25,25035.15,908
2026-01-19 09:20:00+01:00,25034.95,25042.55,25021.65,25033.45,827
2026-01-19 09:25:00+01:00,25033.55,25036.25,25004.75,25014.35,720
2026-01-19 09:30:00+01:00,25014.25,25055.95,25003.75,25055.85,820
2026-01-19 09:35:00+01:00,25055.35,25064.65,25040.65,25058.55,722
2026-01-19 09:40:00+01:00,25060.35,25062.85,25027.05,25029.85,678
2026-01-19 09:45:00+01:00,25030.35,25047.35,25026.25,25030.75,643
2026-01-19 09:50:00+01:00,25031.25,25038.95,25021.75,25031.55,575
2026-01-19 09:55:00+01:00,25031.75,25037.85,25011.95,25030.65,589
2026-01-19 10:00:00+01:00,25030.75,25036.95,25002.55,25014.85,645
2026-01-19 10:05:00+01:00,25015.35,25015.35,24992.75,24993.05,558
2026-01-19 10:10:00+01:00,24993.25,25000.45,24982.75,24989.35,610
2026-01-19 10:15:00+01:00,24989.85,24998.85,24971.95,24977.95,543
2026-01-19 10:20:00+01:00,24977.85,24983.15,24948.45,24950.45,525
2026-01-19 10:25:00+01:00,24950.95,24983.45,24947.65,24976.65,709
